Batch,Decom Loss,Relight Loss
222,0.0151,0.3281
223,0.0152,0.3279
224,0.0149,0.3277
225,0.0149,0.3279
226,0.0151,0.3274
227,0.015,0.3271
228,0.0149,0.3269
229,0.015,0.327
230,0.015,0.3266
231,0.015,0.3267
232,0.0152,0.3262
233,0.0152,0.3261
234,0.0149,0.3261
235,0.015,0.326
236,0.0147,0.3257
237,0.0151,0.3263
238,0.015,0.3252
239,0.0146,0.3254
240,0.0148,0.3248
241,0.0145,0.3248
242,0.0146,0.3244
1,0.0149,0.3244
2,0.0151,0.3241
3,0.015,0.3239
4,0.0145,0.3237
5,0.015,0.3242
6,0.0147,0.3244
7,0.015,0.3232
8,0.0148,0.3233
9,0.015,0.3229
10,0.0146,0.3226
11,0.0148,0.3224
12,0.0145,0.3223
13,0.0143,0.322
14,0.0143,0.3219
15,0.0143,0.322
16,0.0144,0.3221
17,0.0147,0.3213
18,0.0147,0.3212
19,0.0149,0.321
20,0.0143,0.3208
21,0.0145,0.3205
22,0.0147,0.3204
23,0.0143,0.3206
24,0.0147,0.3201
25,0.0147,0.3198
26,0.0143,0.3201
27,0.0142,0.3194
28,0.0146,0.3192
29,0.0144,0.3192
30,0.0141,0.3191
31,0.0144,0.3185
32,0.0144,0.3185
33,0.0142,0.3182
34,0.0142,0.3181
35,0.0146,0.3178
36,0.0142,0.3174
37,0.0139,0.3174
38,0.0144,0.3172
39,0.0141,0.3175
40,0.0143,0.3168
41,0.0141,0.3172
42,0.0149,0.3183
43,0.014,0.3161
44,0.0144,0.3167
45,0.014,0.3164
46,0.0139,0.3154
47,0.014,0.3155
48,0.0141,0.3151
49,0.014,0.3151
50,0.0137,0.3146
51,0.014,0.3147
52,0.0138,0.3142
53,0.0139,0.3145
54,0.0142,0.3155
55,0.0141,0.3136
56,0.0139,0.3138
57,0.0141,0.3133
58,0.014,0.3132
59,0.0139,0.3128
60,0.0144,0.3126
61,0.0139,0.3124
62,0.0139,0.3123
63,0.014,0.312
64,0.0143,0.3139
65,0.014,0.3114
66,0.014,0.3125
67,0.0139,0.3112
68,0.0138,0.3109
69,0.0142,0.3106
70,0.0139,0.3104
71,0.0137,0.3103
72,0.0139,0.3101
73,0.0139,0.3106
74,0.014,0.3102
75,0.0152,0.3148
76,0.0136,0.3091
77,0.0136,0.3089
78,0.0137,0.3087
79,0.0138,0.3094
80,0.014,0.3097
81,0.0138,0.3093
82,0.0137,0.3085
83,0.0135,0.3074
84,0.0138,0.3072
85,0.0137,0.3072
86,0.0138,0.3067
87,0.0138,0.3064
88,0.0136,0.3071
89,0.0136,0.3068
90,0.0136,0.306
91,0.0137,0.3055
92,0.0137,0.3053
93,0.0139,0.3051
94,0.0138,0.3049
95,0.0139,0.3046
96,0.0134,0.3048
97,0.0135,0.3044
98,0.0132,0.3045
99,0.0136,0.3038
100,0.0134,0.3036
101,0.0137,0.3033
102,0.0135,0.3031
103,0.0135,0.3029
104,0.0136,0.3026
105,0.0138,0.3023
106,0.0138,0.302
107,0.0136,0.3022
108,0.0135,0.3015
109,0.0135,0.3012
110,0.0131,0.301
111,0.0133,0.3015
112,0.0135,0.3004
113,0.0133,0.3003
114,0.0133,0.3003
115,0.0134,0.2998
116,0.0134,0.3008
117,0.0131,0.2994
118,0.0134,0.299
119,0.0132,0.2987
120,0.0131,0.2988
121,0.0131,0.2986
122,0.0133,0.2981
123,0.0131,0.2978
124,0.0132,0.2975
125,0.0131,0.2979
126,0.0133,0.297
127,0.0132,0.297
128,0.013,0.2972
129,0.0131,0.297
130,0.013,0.2963
131,0.0131,0.2958
132,0.013,0.2958
133,0.0132,0.2965
134,0.0129,0.2955
135,0.013,0.2946
136,0.0132,0.2945
137,0.0131,0.2954
138,0.013,0.294
139,0.0129,0.2939
140,0.0129,0.2938
141,0.0137,0.2968
142,0.0129,0.293
143,0.0129,0.2932
144,0.0131,0.2922
145,0.013,0.2922
146,0.0129,0.2924
147,0.013,0.2918
148,0.013,0.2921
149,0.0129,0.2913
150,0.013,0.2912
151,0.0129,0.2914
152,0.0127,0.2905
153,0.0129,0.2904
154,0.0128,0.2896
155,0.0131,0.2905
156,0.0128,0.2892
157,0.0128,0.2895
158,0.0129,0.2894
159,0.0128,0.2884
160,0.0127,0.2883
161,0.013,0.2893
162,0.0128,0.2877
163,0.0127,0.2874
164,0.0127,0.287
165,0.0131,0.288
166,0.0126,0.2872
167,0.0126,0.2869
168,0.0128,0.2856
169,0.0128,0.2854
170,0.0128,0.2851
171,0.0126,0.2852
172,0.0126,0.285
173,0.0129,0.2842
174,0.0127,0.2841
175,0.0129,0.2837
176,0.0129,0.2851
177,0.0127,0.2834
178,0.0127,0.283
179,0.0127,0.2827
180,0.0124,0.2826
181,0.0125,0.2819
182,0.0125,0.2817
183,0.0127,0.2815
184,0.0127,0.2811
185,0.0126,0.2809
186,0.0127,0.2804
187,0.0124,0.281
188,0.0128,0.2799
189,0.0125,0.2797
190,0.0127,0.2793
191,0.0126,0.279
192,0.0126,0.2788
193,0.0123,0.2789
194,0.0125,0.2784
195,0.0124,0.2779
196,0.0123,0.2776
197,0.0123,0.2779
198,0.0125,0.2778
199,0.0124,0.2768
200,0.0123,0.2766
201,0.0125,0.2774
202,0.0124,0.276
203,0.0123,0.2758
204,0.0123,0.2755
205,0.0122,0.2756
206,0.0124,0.2749
207,0.0123,0.2751
208,0.0121,0.2749
209,0.0122,0.2738
210,0.0123,0.2744
211,0.0124,0.2736
212,0.0124,0.2725
213,0.0121,0.2726
214,0.012,0.2723
215,0.0122,0.2716
216,0.0122,0.2713
217,0.012,0.2711
218,0.0122,0.2706
219,0.0121,0.2703
220,0.0122,0.2702
221,0.0122,0.2704
222,0.0122,0.2694
223,0.0121,0.2699
224,0.0123,0.2686
225,0.0121,0.2689
226,0.0122,0.268
227,0.0123,0.2677
228,0.0123,0.2675
229,0.0121,0.2681
230,0.012,0.2671
231,0.0122,0.2669
232,0.0123,0.2659
233,0.0123,0.2655
234,0.0122,0.2659
235,0.0122,0.2655
236,0.0121,0.2647
237,0.0121,0.2642
238,0.0122,0.264
239,0.0119,0.2645
240,0.0121,0.2634
241,0.0119,0.2635
242,0.0122,0.2625
1,0.0121,0.2621
2,0.0119,0.2623
3,0.0123,0.2616
4,0.0119,0.261
5,0.012,0.2609
6,0.0119,0.2618
7,0.0119,0.2599
8,0.0119,0.2601
9,0.0118,0.2593
10,0.0118,0.2593
11,0.0119,0.2591
12,0.0117,0.2584
13,0.0119,0.2581
14,0.0118,0.2575
15,0.0117,0.2576
16,0.0116,0.2574
