(py37Retinex) D:\Zou\RetinexNet_PyTorch-master\RetinexNet_PyTorch-master>python train_improved.py --data_dir ./ --batch_size 2 --patch_size 64 --epochs 30 --lr 0.000003
训练数据数量: 485
Epoch [1/30], Batch [127/242], Decom Loss: 0.0197, Relight Loss: 0.3900
Epoch [1/30], Batch [128/242], Decom Loss: 0.0200, Relight Loss: 0.3900
Epoch [1/30], Batch [129/242], Decom Loss: 0.0198, Relight Loss: 0.3900
Epoch [1/30], Batch [130/242], Decom Loss: 0.0201, Relight Loss: 0.3900
Epoch [1/30], Batch [131/242], Decom Loss: 0.0188, Relight Loss: 0.3900
Epoch [1/30], Batch [132/242], Decom Loss: 0.0195, Relight Loss: 0.3899
Epoch [1/30], Batch [133/242], Decom Loss: 0.0185, Relight Loss: 0.3900
Epoch [1/30], Batch [134/242], Decom Loss: 0.0193, Relight Loss: 0.3899
Epoch [1/30], Batch [135/242], Decom Loss: 0.0196, Relight Loss: 0.3899
Epoch [1/30], Batch [136/242], Decom Loss: 0.0200, Relight Loss: 0.3899
Epoch [1/30], Batch [137/242], Decom Loss: 0.0201, Relight Loss: 0.3899
Epoch [1/30], Batch [138/242], Decom Loss: 0.0205, Relight Loss: 0.3899
Epoch [1/30], Batch [139/242], Decom Loss: 0.0191, Relight Loss: 0.3898
Epoch [1/30], Batch [140/242], Decom Loss: 0.0191, Relight Loss: 0.3900
Epoch [1/30], Batch [141/242], Decom Loss: 0.0183, Relight Loss: 0.3902
Epoch [1/30], Batch [142/242], Decom Loss: 0.0195, Relight Loss: 0.3898
Epoch [1/30], Batch [143/242], Decom Loss: 0.0191, Relight Loss: 0.3897
Epoch [1/30], Batch [144/242], Decom Loss: 0.0203, Relight Loss: 0.3898
Epoch [1/30], Batch [145/242], Decom Loss: 0.0196, Relight Loss: 0.3899
Epoch [1/30], Batch [146/242], Decom Loss: 0.0199, Relight Loss: 0.3898
Epoch [1/30], Batch [147/242], Decom Loss: 0.0198, Relight Loss: 0.3898
Epoch [1/30], Batch [148/242], Decom Loss: 0.0189, Relight Loss: 0.3897
Epoch [1/30], Batch [149/242], Decom Loss: 0.0193, Relight Loss: 0.3898
Epoch [1/30], Batch [150/242], Decom Loss: 0.0199, Relight Loss: 0.3898
Epoch [1/30], Batch [151/242], Decom Loss: 0.0196, Relight Loss: 0.3897
Epoch [1/30], Batch [152/242], Decom Loss: 0.0200, Relight Loss: 0.3898
Epoch [1/30], Batch [153/242], Decom Loss: 0.0190, Relight Loss: 0.3897
Epoch [1/30], Batch [154/242], Decom Loss: 0.0196, Relight Loss: 0.3897
Epoch [1/30], Batch [155/242], Decom Loss: 0.0192, Relight Loss: 0.3898
Epoch [1/30], Batch [156/242], Decom Loss: 0.0191, Relight Loss: 0.3896
Epoch [1/30], Batch [157/242], Decom Loss: 0.0186, Relight Loss: 0.3896
Epoch [1/30], Batch [158/242], Decom Loss: 0.0186, Relight Loss: 0.3897
Epoch [1/30], Batch [159/242], Decom Loss: 0.0190, Relight Loss: 0.3896
Epoch [1/30], Batch [160/242], Decom Loss: 0.0192, Relight Loss: 0.3897
Epoch [1/30], Batch [161/242], Decom Loss: 0.0181, Relight Loss: 0.3897
Epoch [1/30], Batch [162/242], Decom Loss: 0.0199, Relight Loss: 0.3897
Epoch [1/30], Batch [163/242], Decom Loss: 0.0196, Relight Loss: 0.3896
Epoch [1/30], Batch [164/242], Decom Loss: 0.0197, Relight Loss: 0.3897
Epoch [1/30], Batch [165/242], Decom Loss: 0.0186, Relight Loss: 0.3897
Epoch [1/30], Batch [166/242], Decom Loss: 0.0179, Relight Loss: 0.3901
Epoch [1/30], Batch [167/242], Decom Loss: 0.0180, Relight Loss: 0.3897
Epoch [1/30], Batch [168/242], Decom Loss: 0.0188, Relight Loss: 0.3895
Epoch [1/30], Batch [169/242], Decom Loss: 0.0193, Relight Loss: 0.3896
Epoch [1/30], Batch [170/242], Decom Loss: 0.0193, Relight Loss: 0.3896
Epoch [1/30], Batch [171/242], Decom Loss: 0.0183, Relight Loss: 0.3895
Epoch [1/30], Batch [172/242], Decom Loss: 0.0189, Relight Loss: 0.3898
Epoch [1/30], Batch [173/242], Decom Loss: 0.0199, Relight Loss: 0.3896
Epoch [1/30], Batch [174/242], Decom Loss: 0.0195, Relight Loss: 0.3895
Epoch [1/30], Batch [175/242], Decom Loss: 0.0188, Relight Loss: 0.3895
Epoch [1/30], Batch [176/242], Decom Loss: 0.0186, Relight Loss: 0.3895
Epoch [1/30], Batch [177/242], Decom Loss: 0.0191, Relight Loss: 0.3895
Epoch [1/30], Batch [178/242], Decom Loss: 0.0190, Relight Loss: 0.3895
Epoch [1/30], Batch [179/242], Decom Loss: 0.0189, Relight Loss: 0.3894
Epoch [1/30], Batch [180/242], Decom Loss: 0.0192, Relight Loss: 0.3894
Epoch [1/30], Batch [181/242], Decom Loss: 0.0192, Relight Loss: 0.3896
Epoch [1/30], Batch [182/242], Decom Loss: 0.0194, Relight Loss: 0.3894
Epoch [1/30], Batch [183/242], Decom Loss: 0.0190, Relight Loss: 0.3895
Epoch [1/30], Batch [184/242], Decom Loss: 0.0187, Relight Loss: 0.3894
Epoch [1/30], Batch [185/242], Decom Loss: 0.0185, Relight Loss: 0.3893
Epoch [1/30], Batch [186/242], Decom Loss: 0.0186, Relight Loss: 0.3893
Epoch [1/30], Batch [187/242], Decom Loss: 0.0186, Relight Loss: 0.3893
Epoch [1/30], Batch [188/242], Decom Loss: 0.0186, Relight Loss: 0.3893
Epoch [1/30], Batch [189/242], Decom Loss: 0.0190, Relight Loss: 0.3893
Epoch [1/30], Batch [190/242], Decom Loss: 0.0192, Relight Loss: 0.3893
Epoch [1/30], Batch [191/242], Decom Loss: 0.0185, Relight Loss: 0.3892
Epoch [1/30], Batch [192/242], Decom Loss: 0.0188, Relight Loss: 0.3893
Epoch [1/30], Batch [193/242], Decom Loss: 0.0182, Relight Loss: 0.3895
Epoch [1/30], Batch [194/242], Decom Loss: 0.0181, Relight Loss: 0.3891
Epoch [1/30], Batch [195/242], Decom Loss: 0.0179, Relight Loss: 0.3892
Epoch [1/30], Batch [196/242], Decom Loss: 0.0190, Relight Loss: 0.3895
Epoch [1/30], Batch [197/242], Decom Loss: 0.0179, Relight Loss: 0.3892
Epoch [1/30], Batch [198/242], Decom Loss: 0.0183, Relight Loss: 0.3892
Epoch [1/30], Batch [199/242], Decom Loss: 0.0180, Relight Loss: 0.3892
Epoch [1/30], Batch [200/242], Decom Loss: 0.0181, Relight Loss: 0.3896
Epoch [1/30], Batch [201/242], Decom Loss: 0.0178, Relight Loss: 0.3891
Epoch [1/30], Batch [202/242], Decom Loss: 0.0183, Relight Loss: 0.3891
Epoch [1/30], Batch [203/242], Decom Loss: 0.0179, Relight Loss: 0.3891
Epoch [1/30], Batch [204/242], Decom Loss: 0.0179, Relight Loss: 0.3891
Epoch [1/30], Batch [205/242], Decom Loss: 0.0176, Relight Loss: 0.3890
Epoch [1/30], Batch [206/242], Decom Loss: 0.0174, Relight Loss: 0.3891
Epoch [1/30], Batch [207/242], Decom Loss: 0.0172, Relight Loss: 0.3891
Epoch [1/30], Batch [208/242], Decom Loss: 0.0176, Relight Loss: 0.3891
Epoch [1/30], Batch [209/242], Decom Loss: 0.0178, Relight Loss: 0.3891
Epoch [1/30], Batch [210/242], Decom Loss: 0.0183, Relight Loss: 0.3891
Epoch [1/30], Batch [211/242], Decom Loss: 0.0182, Relight Loss: 0.3891
Epoch [1/30], Batch [212/242], Decom Loss: 0.0186, Relight Loss: 0.3891
Epoch [1/30], Batch [213/242], Decom Loss: 0.0178, Relight Loss: 0.3892
Epoch [1/30], Batch [214/242], Decom Loss: 0.0182, Relight Loss: 0.3891
Epoch [1/30], Batch [215/242], Decom Loss: 0.0171, Relight Loss: 0.3892
Epoch [1/30], Batch [216/242], Decom Loss: 0.0174, Relight Loss: 0.3892
Epoch [1/30], Batch [217/242], Decom Loss: 0.0182, Relight Loss: 0.3890
Epoch [1/30], Batch [218/242], Decom Loss: 0.0184, Relight Loss: 0.3890
Epoch [1/30], Batch [219/242], Decom Loss: 0.0176, Relight Loss: 0.3890
Epoch [1/30], Batch [220/242], Decom Loss: 0.0178, Relight Loss: 0.3890
Epoch [1/30], Batch [221/242], Decom Loss: 0.0178, Relight Loss: 0.3889
Epoch [1/30], Batch [222/242], Decom Loss: 0.0178, Relight Loss: 0.3889
Epoch [1/30], Batch [223/242], Decom Loss: 0.0183, Relight Loss: 0.3889
Epoch [1/30], Batch [224/242], Decom Loss: 0.0178, Relight Loss: 0.3889
Epoch [1/30], Batch [225/242], Decom Loss: 0.0172, Relight Loss: 0.3888
Epoch [1/30], Batch [226/242], Decom Loss: 0.0182, Relight Loss: 0.3889
Epoch [1/30], Batch [227/242], Decom Loss: 0.0169, Relight Loss: 0.3889
